NYT Connections 119,October 8th,2023,,
CELEBRATORY OCCASIONS,ANNIVERSARY,BIRTHDAY,SHOWER,WEDDING
PHONE CONNECTIVITY,BARS,RECEPTION,SERVICE,SIGNAL
CITIES AND TOWNS IN ENGLAND,BATH,DERBY,READING,SANDWICH
___ OPERA,COMIC,MET,ROCK,SOAP
NYT Connections 118,October 7th,2023,,
RHYMES,DARREN,KAREN,SHARON,AARON
NATURAL FEATURES,DALE,BROOK,SAVANNA,CLIFF
PAST TENSE VERBS,DREW,ROSE,WILL,MAY
PALINDROMES,EVE,HANNAH,OTTO,NATAN
NYT Connections 117,October 6th,2023,,
LAUGHTER-IN A TEXT,DEAD,HAHA,LOL,ROFL
ART MOVEMENTS,DADA,DECO,GOTHIC,POP
“PETER PAN” CHARACTERS,HOOK,NANA,PETER,WENDY
LADY ___,BIRD,GAGA,LUCK,MACBETH
NYT Connections 116,October 5th,2023,,
DIVISION,ARM,BRANCH,CHAPTER,WING
IMPERIAL UNITS,BUSHEL,PECK,STONE,TON
M.L.B. TEAM MEMBER,ANGEL,CUB,MET,RED
INSECT HOMOPHONES,AUNT,BEATLE,FLEE,NAT
NYT Connections 115,October 4th,2023,,
CHRISTMAS-RELATED,MISTLETOE,REINDEER,SNOWMAN,STOCKING
MAKE PUBLIC,DISPLAY,EXHIBIT,PRESENT,SHOW
TORUS-SHAPED FOOD,BAGEL,CHEERIO,DONUT,LIFESAVER
THINGS WITH STRIPES,CANDY CANE,CROSSWALK,REFEREE,TIGER
NYT Connections 114,October 3rd,2023,,
LONG-HAIRED ANIMALS,AFGHAN,ALPACA,ANGORA,YAK
PRATTLE ON,BLATHER,CHAT,JABBER,GAB
SNEAKER BRANDS,CONVERSE,JORDAN,PUMA,VANS
___ BALLOON,LEAD,SPEECH,TRIAL,WATER
NYT Connections 113,October 2nd,2023,,
WAYS TO SHOW RESPECT,BOW,KNEEL,SALUTE,STAND
IPHONE APPS,CLOCK,MAIL,MAPS,NOTES
ANIMAL COVERINGS,DOWN,FUR,SCALES,SHELL
“POINTERS”,ARROW,DOG,FINGER,HINT
NYT Connections 112,October 1st,2023,,
COFFEE COUNTER ITEMS,CUP,LID,STIRRER,STRAW
NOCTURNAL ANIMALS,BAT,MOTH,OWL,WOLF
THINGS THAT ARE RED,BEET,BRICK,CARDINAL,POPPY
___ FIGURE,ACTION,BALLPARK,GO,STICK
NYT Connections 111,September 30th,2023,,
PLAYING CARD SUITS,CLUB,DIAMOND,HEART,SPADE
GOLF CLUBS,IRON,PUTTER,WEDGE,WOOD
YEARN,ACHE,LONG,PINE,THIRST
INSUFFICIENT,LOW,SHORT,SHY,WANTING
NYT Connections 110,September 29th,2023,,
VERY IMPORTANT,CENTRAL,CRITICAL,KEY,VITAL
RECYCLNG CATEGORIES,GLASS,METAL,PAPER,PLASTIC
HUDSONS,HENRY,JENNIFER,KATE,ROCK
WHAT “BEAT” MAY MEAN,ASSIGNMENT,DEFEAT,TEMPO,TIRED
NYT Connections 109,September 28th,2023,,
REFLECT LIGHT,FLASH,GLEAM,GLITTER,SPARKLE
WAYS TO GATHER FOOD,FISH,FORAGE,HUNT,TRAP
RAP SUBGENRES,BOUNCE,CRUNK,DRILL,GRIME
LIGHT ___,BEER,BULB,RAIL,YEAR
NYT Connections 108,September 27th,2023,,
PRODUCED BY TREES,ACORN,CONE,POLLEN,SAP
CANDY STORE TREATS,CHOCOLATE,GUM,LICORICE,LOLLIPOP
TARGET OF A SCHEME,CHUMP,FOOL,MARK,SUCKER
THINGS WITH EYE(S),FACE,HURRICANE,NEEDLE,POTATO
NYT Connections 107,September 26th,2023,,
SNAKES,BOA,MAMBA,PYTHON,VIPER
LINGERIE,GARTER,SLIP,TEDDY,THONG
SUMMARY,ABSTRACT,BRIEF,DIGEST,RUNDOWN
FULL ___,CIRCLE,HOUSE,MONTY,MOON
NYT Connections 106,September 25th,2023,,
BRIDAL ACCESSORIES,BOUQUET,RING,TRAIN,VEIL
“C” WORDS FOR “ENVELOP”,CAKE,COAT,COVER,CRUST
JACKS,BLACK,FROST,MA,SPARROW
SOCIAL MEDIA APP ENDINGS,BOOK,GRAM,IN,TUBE
NYT Connections 105,September 24th,2023,,
KITCHEN UTENSILS,GRATER,LADLE,PEELER,WHISK
VERTEBRATES,BIRD,FISH,MAMMAL,REPTILE
SUPER MARIO-RELATED,DINOSAUR,MUSHROOM,PLUMBER,PRINCESS
SITCOM FAMILIES,BUNKER,CLEAVER,PARTRIDGE,TANNER
NYT Connections 104,September 23rd,2023,,
ROBUST,FIT,HEALTHY,SOUND,STRONG
DECLINE,DIP,DROP,FALL,SINK
WATER SOURCES,FOUNTAIN,SPRING,TAP,WELL
WOMEN SINGERS,KEYS,NICKS,SUMMER,SWIFT
NYT Connections 103,September 22nd,2023,,
SODA FOUNTAIN ORDERS,FLOAT,MALT,SHAKE,SUNDAE
SET-AS PLANS,CONCRETE,FIRM,SOLID,TANGIBLE
M. NIGHT SHYAMALAN MOVIES,GLASS,OLD,SIGNS,SPLIT
___BOARD,DASH,HOVER,KEY,STAR
NYT Connections 102,September 21st,2023,,
RESTAURANT WORKERS,BARTENDER,CHEF,HOST,SERVER
MOTOR VEHICLES,BUS,CAR,MOTORCYCLE,TRUCK
MUPPETS,ANIMAL,BEAKER,GONZO,SCOOTER
HAND AND FOOT RELATED SLANG,DIGIT,DOG,MITT,PIGGY
NYT Connections 101,September 20th,2023,,
REPLACEMENT,BACKUP,COPY,EXTRA,SPARE
BOWLING,ALLEY,BALL,LANE,PIN
COMMON MERCH ITEMS,MUG,PEN,TEE,TOTE
NUMBER HOMOPHONES,ATE,FOR,TOO,WON
NYT Connections 100,September 19th,2023,,
WEB BROWSER-RELATED,BOOKMARK,HISTORY,TAB,WINDOW
SHIRT FEATURES,BUTTON,COLLAR,CUFF,POCKET
CONNECTION,BOND,LINK,RELATION,TIE
DIRTY ___,DOZEN,JOKE,LAUNDRY,MARTINI
NYT Connections 99,September 18th,2023,,
INTELLIGENT,BRIGHT,CLEVER,QUICK,SHARP
AIRLINES,ALASKA,FRONTIER,SOUTHWEST,SPIRIT
WESTERN TROPES,COWBOY,DRIFTER,OUTLAW,SHERIFF
TV SHOW TITLE SURNAMES,LASSO,MARS,ROGERS,SMART
NYT Connections 98,September 17th,2023,,
FRUITS,APRICOT,FIG,GRAPE,LIME
LUXURIOUS,DELUXE,GRAND,LAVISH,OPULENT
