date,category,w1,w2,w3,w4
2023-10-08,CELEBRATORY OCCASIONS,ANNIVERSARY,BIRTHDAY,SHOWER,WEDDING
2023-10-08,PHONE CONNECTIVITY,BARS,RECEPTION,SERVICE,SIGNAL
2023-10-08,CITIES AND TOWNS IN ENGLAND,BATH,DERBY,READING,SANDWICH
2023-10-08,___ OPERA,COMIC,MET,ROCK,SOAP
2023-10-07,RHYMES,DARREN,KAREN,SHARON,AARON
2023-10-07,NATURAL FEATURES,DALE,BROOK,SAVANNA,CLIFF
2023-10-07,PAST TENSE VERBS,DREW,ROSE,WILL,MAY
2023-10-07,PALINDROMES,EVE,HANNAH,OTTO,NATAN
2023-10-06,LAUGHTER-IN A TEXT,DEAD,HAHA,LOL,ROFL
2023-10-06,ART MOVEMENTS,DADA,DECO,GOTHIC,POP
2023-10-06,“PETER PAN” CHARACTERS,HOOK,NANA,PETER,WENDY
2023-10-06,LADY ___,BIRD,GAGA,LUCK,MACBETH
2023-10-05,DIVISION,ARM,BRANCH,CHAPTER,WING
2023-10-05,IMPERIAL UNITS,BUSHEL,PECK,STONE,TON
2023-10-05,M.L.B. TEAM MEMBER,ANGEL,CUB,MET,RED
2023-10-05,INSECT HOMOPHONES,AUNT,BEATLE,FLEE,NAT
2023-10-04,CHRISTMAS-RELATED,MISTLETOE,REINDEER,SNOWMAN,STOCKING
2023-10-04,MAKE PUBLIC,DISPLAY,EXHIBIT,PRESENT,SHOW
2023-10-04,TORUS-SHAPED FOOD,BAGEL,CHEERIO,DONUT,LIFESAVER
2023-10-04,THINGS WITH STRIPES,CANDY CANE,CROSSWALK,REFEREE,TIGER
2023-10-03,LONG-HAIRED ANIMALS,AFGHAN,ALPACA,ANGORA,YAK
2023-10-03,PRATTLE ON,BLATHER,CHAT,JABBER,GAB
2023-10-03,SNEAKER BRANDS,CONVERSE,JORDAN,PUMA,VANS
2023-10-03,___ BALLOON,LEAD,SPEECH,TRIAL,WATER
2023-10-02,WAYS TO SHOW RESPECT,BOW,KNEEL,SALUTE,STAND
2023-10-02,IPHONE APPS,CLOCK,MAIL,MAPS,NOTES
2023-10-02,ANIMAL COVERINGS,DOWN,FUR,SCALES,SHELL
2023-10-02,“POINTERS”,ARROW,DOG,FINGER,HINT
2023-10-01,COFFEE COUNTER ITEMS,CUP,LID,STIRRER,STRAW
2023-10-01,NOCTURNAL ANIMALS,BAT,MOTH,OWL,WOLF
2023-10-01,THINGS THAT ARE RED,BEET,BRICK,CARDINAL,POPPY
2023-10-01,___ FIGURE,ACTION,BALLPARK,GO,STICK
2023-09-30,PLAYING CARD SUITS,CLUB,DIAMOND,HEART,SPADE
2023-09-30,GOLF CLUBS,IRON,PUTTER,WEDGE,WOOD
2023-09-30,YEARN,ACHE,LONG,PINE,THIRST
2023-09-30,INSUFFICIENT,LOW,SHORT,SHY,WANTING
2023-09-29,VERY IMPORTANT,CENTRAL,CRITICAL,KEY,VITAL
2023-09-29,RECYCLNG CATEGORIES,GLASS,METAL,PAPER,PLASTIC
2023-09-29,HUDSONS,HENRY,JENNIFER,KATE,ROCK
2023-09-29,WHAT “BEAT” MAY MEAN,ASSIGNMENT,DEFEAT,TEMPO,TIRED
2023-09-28,REFLECT LIGHT,FLASH,GLEAM,GLITTER,SPARKLE
2023-09-28,WAYS TO GATHER FOOD,FISH,FORAGE,HUNT,TRAP
2023-09-28,RAP SUBGENRES,BOUNCE,CRUNK,DRILL,GRIME
2023-09-28,LIGHT ___,BEER,BULB,RAIL,YEAR
2023-09-27,PRODUCED BY TREES,ACORN,CONE,POLLEN,SAP
2023-09-27,CANDY STORE TREATS,CHOCOLATE,GUM,LICORICE,LOLLIPOP
2023-09-27,TARGET OF A SCHEME,CHUMP,FOOL,MARK,SUCKER
2023-09-27,THINGS WITH EYE(S),FACE,HURRICANE,NEEDLE,POTATO
2023-09-26,SNAKES,BOA,MAMBA,PYTHON,VIPER
2023-09-26,LINGERIE,GARTER,SLIP,TEDDY,THONG
2023-09-26,SUMMARY,ABSTRACT,BRIEF,DIGEST,RUNDOWN
2023-09-26,FULL ___,CIRCLE,HOUSE,MONTY,MOON
2023-09-25,BRIDAL ACCESSORIES,BOUQUET,RING,TRAIN,VEIL
2023-09-25,“C” WORDS FOR “ENVELOP”,CAKE,COAT,COVER,CRUST
2023-09-25,JACKS,BLACK,FROST,MA,SPARROW
2023-09-25,SOCIAL MEDIA APP ENDINGS,BOOK,GRAM,IN,TUBE
2023-09-24,KITCHEN UTENSILS,GRATER,LADLE,PEELER,WHISK
2023-09-24,VERTEBRATES,BIRD,FISH,MAMMAL,REPTILE
2023-09-24,SUPER MARIO-RELATED,DINOSAUR,MUSHROOM,PLUMBER,PRINCESS
2023-09-24,SITCOM FAMILIES,BUNKER,CLEAVER,PARTRIDGE,TANNER
2023-09-23,ROBUST,FIT,HEALTHY,SOUND,STRONG
2023-09-23,DECLINE,DIP,DROP,FALL,SINK
2023-09-23,WATER SOURCES,FOUNTAIN,SPRING,TAP,WELL
2023-09-23,WOMEN SINGERS,KEYS,NICKS,SUMMER,SWIFT
2023-09-22,SODA FOUNTAIN ORDERS,FLOAT,MALT,SHAKE,SUNDAE
2023-09-22,SET-AS PLANS,CONCRETE,FIRM,SOLID,TANGIBLE
2023-09-22,M. NIGHT SHYAMALAN MOVIES,GLASS,OLD,SIGNS,SPLIT
2023-09-22,___BOARD,DASH,HOVER,KEY,STAR
2023-09-21,RESTAURANT WORKERS,BARTENDER,CHEF,HOST,SERVER
2023-09-21,MOTOR VEHICLES,BUS,CAR,MOTORCYCLE,TRUCK
2023-09-21,MUPPETS,ANIMAL,BEAKER,GONZO,SCOOTER
2023-09-21,HAND AND FOOT RELATED SLANG,DIGIT,DOG,MITT,PIGGY
2023-09-20,REPLACEMENT,BACKUP,COPY,EXTRA,SPARE
2023-09-20,BOWLING,ALLEY,BALL,LANE,PIN
2023-09-20,COMMON MERCH ITEMS,MUG,PEN,TEE,TOTE
2023-09-20,NUMBER HOMOPHONES,ATE,FOR,TOO,WON
2023-09-19,WEB BROWSER-RELATED,BOOKMARK,HISTORY,TAB,WINDOW
2023-09-19,SHIRT FEATURES,BUTTON,COLLAR,CUFF,POCKET
2023-09-19,CONNECTION,BOND,LINK,RELATION,TIE
2023-09-19,DIRTY ___,DOZEN,JOKE,LAUNDRY,MARTINI
2023-09-18,INTELLIGENT,BRIGHT,CLEVER,QUICK,SHARP
2023-09-18,AIRLINES,ALASKA,FRONTIER,SOUTHWEST,SPIRIT
2023-09-18,WESTERN TROPES,COWBOY,DRIFTER,OUTLAW,SHERIFF
2023-09-18,TV SHOW TITLE SURNAMES,LASSO,MARS,ROGERS,SMART
2023-09-17,FRUITS,APRICOT,FIG,GRAPE,LIME
2023-09-17,LUXURIOUS,DELUXE,GRAND,LAVISH,OPULENT
2023-09-17,BEST ACTRESS OSCAR WINNERS,BERRY,FOSTER,STONE,SWANK
2023-09-17,WHAT “GREEN” MIGHT MEAN,ENVIOUS,FRESH,NAIVE,UNWELL
2023-09-16,FAIRY TALE FIGURES,GIANT,PRINCESS,WITCH,WOLF
2023-09-16,CHESS TERMS,BISHOP,MATE,GAMBIT,QUEEN
2023-09-16,“PEANUTS” CHARACTERS,CHARLIE,PEPPERMINT PATTY,PIGPEN,WOODSTOCK
2023-09-16,I LOVE ___,LUCY,NEW YORK,ROCK 'N ROLL,YOU
2023-09-15,BOVIDS,BUFFALO,COW,GOAT,SHEEP
2023-09-15,EMIT LIGHT,BEAM,GLOW,RADIATE,SHINE
2023-09-15,GYMNASTICS APPARATUS,FLOOR,HORSE,RINGS,VAULT
2023-09-15,WORDS THAT SOUND LIKE TWO LETTERS,CUTIE,ENVY,EXCEL,SEEDY
2023-09-14,EYE PARTS,IRIS,LENS,PUPIL,RETINA
2023-09-14,COUNTERFEIT,BOGUS,FAKE,PHONY,SHAM
2023-09-14,RADIO LINGO,COPY,OUT,OVER,ROGER
2023-09-14,SONGS THAT ARE NAMES,ALEJANDRO,LOLA,MICHELLE,STAN
2023-09-13,“SKEDADDLE!”,GET OUT,GO,LEAVE,SCRAM
2023-09-13,PRONOUNS,ME,THEM,US,YOU
2023-09-13,ANAGRAMS,NOPE,OPEN,PEON,PONE
2023-09-13,___ BABY,BEANIE,FUR,NEPO,SANTA
2023-09-12,HOT DRINKS,CHAI,COCOA,COFFEE,TEA
2023-09-12,ANIMAL SOUNDS,BUZZ,CLUCK,MEOW,OINK
2023-09-12,TREE FEATURES,BARK,BRANCH,ROOT,TRUNK
2023-09-12,INSIDE INFO,DIRT,DISH,SCOOP,SKINNY
2023-09-11,HALLOWEEN DECORATIONS,BAT,COBWEB,PUMPKIN,TOMBSTONE
2023-09-11,TV SHOWS,24,BONES,FIREFLY,WEEDS
2023-09-11,SLOT MACHINE SYMBOLS,7,BAR,BELL,CHERRY
2023-09-11,NUMBERS IN BOOK TITLES,22,451,2001,20-0
2023-09-10,AMAZON ANIMALS,ANACONDA,CAPYBARA,JAGUAR,TOUCAN
2023-09-10,LOWEST POINT,BASE,BOTTOM,FOOT,FOUNDATION
2023-09-10,MUSICALS,COMPANY,GREASE,HAIR,RENT
2023-09-10,SEA ___,CHANGE,CUCUMBER,LEGS,LION
2023-09-09,BASEBALL CALLS,BALL,OUT,SAFE,STRIKE
2023-09-09,HEAT SOURCES,FORGE,FURNACE,KILN,OVEN
2023-09-09,FISH THAT ARE VERBS,CARP,CATFISH,FLOUNDER,SMELT
2023-09-09,SILENT “L”,COLONEL,SALMON,WALK,YOLK
2023-09-08,INHERENT NATURE,ESSENCE,HEART,SPIRIT,SOUL
2023-09-08,FERMENETED ALCOHOLIC BEVERAGES,CIDER,PORT,SAKE,STOUT
2023-09-08,PIXAR MOVIES,BRAVE,CARS,COCO,UP
2023-09-08,___ TAPE,DEMO,RED,SCOTCH,TICKER
2023-09-07,ROCKY HORROR PICTURE SHOW,HORROR,PICTURE,ROCKY,SHOW
2023-09-07,WHO FRAMED ROGER RABBIT,FRAMED,RABBIT,ROGER,WHO
2023-09-07,WHEN HARRY MET SALLY,HARRY,MET,SALLY,WHEN
2023-09-07,MAD MAX FURY ROAD,FURY,MAD,MAX,ROAD
2023-09-06,CREATURES IN FOLKLORE,GNOME,GOBLIN,OGRE,TROLL
2023-09-06,FLOWER PARTS,BUD,LEAF,PETAL,STALK
2023-09-06,ONE INVOLVED IN ESPIONAGE,AGENT,MOLE,PLANT,SPY
2023-09-06,CHINESE ZODIAC ANIMALS,DRAGON,HORSE,RABBIT,TIGER
2023-09-05,INFORMATION DISPLAYS,CHART,DIAGRAM,GRAPH,MAP
2023-09-05,ADDITIONAL BENEFIT,BONUS,EXTRA,ICING,PERK
2023-09-05,THANKSGIVING FOOD,GRAVY,PIE,STUFFING,TURKEY
2023-09-05,SONG TITLES WITH PARENTHESES,I RAN,ISTANBUL,MONTERO,SATISFACTION
2023-09-04,PAINTING ACCESSORIES,BRUSH,CANVAS,EASEL,PALETTE
2023-09-04,AUTOMATIC TRANSMISSION SETTINGS,DRIVE,NEUTRAL,PARK,REVERSE
2023-09-04,THINGS WITH TEETH,COMB,GEAR,SAW,ZIPPER
2023-09-04,___ CHAIR,FIRST,FOLDING,HIGH,LAWN
2023-09-03,FEMALE ANIMALS,COW,DOE,HEN,MARE
2023-09-03,PRONOUNS,I,IT,THEY,WE
2023-09-03,ROMAN NUMERALS,D,L,M,V
2023-09-03,HOMOPHONES,EWE,U,YEW,YOU
2023-09-02,AU NATUREL,BARE,NAKED,NUDE,UNCLAD
2023-09-02,BAKED GOODS,BUN,DANISH,MUFFIN,TURNOVER
2023-09-02,AMERICAN FOOTBALL ACTIONS,FUMBLE,PUNT,SACK,SNAP
2023-09-02,MANICURE STEPS,BUFF,CLIP,FILE,POLISH
2023-09-01,DRINK VESSELS,GOBLET,SNIFTER,TUMBLER,STEIN
2023-09-01,WOODWINDS,CLARINET,FLUTE,OBOE,SAXOPHONE
2023-09-01,AMERICAN POETS,BISHOP,FROST,OLDS,POUND
2023-09-01,CONSECUTIVE DOUBLE LETTERS,BALLOON,BASSOON,COFFEE,FRICASSEE
2023-08-31,APPETIZER UNIT,FRY,NACHO,POPPER,WING
2023-08-31,RESPONSE TO A CORRECT ANSWER,BINGO,CORRECT,RIGHT,YES
2023-08-31,MAR,CHIP,DING,NICK,SCRATCH
2023-08-31,___JACK,APPLE,CRACKER,FLAP,LUMBER
2023-08-30,PLAYGROUND FIXTURES,SANDBOX,SEESAW,SLIDE,SWING
2023-08-30,INFLUENCE,CLOUT,PULL,SWAY,WEIGHT
2023-08-30,EGYPTIAN SYMBOLS,ANKH,CROOK,EYE,SCARAB
2023-08-30,FONTS,COURIER,IMPACT,PAPYRUS,TIMES
2023-08-29,DEPART QUICKLY,BOOK,BOUNCE,RUN,SPLIT
2023-08-29,ANIMALS THAT END WITH X,FOX,IBEX,LYNX,ORYX
2023-08-29,SHADES OF BLACK,EBONY,JET,ONYX,RAVEN
2023-08-29,WORDS BEFORE DAYS OF THE WEEK,ASH,BLACK,CYBER,FAT
2023-08-28,STATES OF ELATION,BLISS,CLOUD NINE,HEAVEN,PARADISE
2023-08-28,SCAM,CON,FAST ONE,HUSTLE,RACKET
2023-08-28,GREETING GESTURES,HIGH FIVE,HUG,SHAKE,WAVE
2023-08-28,___ LIST,BUCKET,GUEST,TOP TEN,WISH
2023-08-27,POULTRY CUTS,BREAST,DRUMSTICK,TENDER,WING
2023-08-27,GOLF TERMS,DRIVER,EAGLE,HOLE,STROKE
2023-08-27,DRUM SET COMPONENTS,CYMBAL,KICK,SNARE,TOM
2023-08-27,"""ASSOCIATED WITH """"CRAWL""""""",INFANT,PUB,SWIMMING,TICKER
2023-08-26,BOARD GAMES,RISK,SORRY,TABOO,TROUBLE
2023-08-26,NEWSPAPER SECTIONS,BUSINESS,NATIONAL,OPINION,STYLE
2023-08-26,FIGURES IN GREEK MYTH,ATLAS,HERMES,NIKE,PARIS
2023-08-26,ADJECTIVES IN RAPPERS' NAMES,FOXY,GUCCI,KILLER,NOTORIOUS
2023-08-25,SOCIAL GATHERING,BASH,BLOWOUT,PARTY,SHINDIG
2023-08-25,PINOCCHIO FIGURES,CRICKET,PUPPET,WHALE,WOODCARVER
2023-08-25,FOUND IN A KITCHEN,COUNTER,MIXER,RANGE,SINK
2023-08-25,EASTER ___,BUNNY,EGG,ISLAND,SUNDAY
2023-08-24,EXTINCT ANIMALS,DODO,MAMMOTH,MASTODON,TRILOBITE
2023-08-24,FAILURES,BUSTS,FLOPS,MISSES,TURKEYS
2023-08-24,SLANG FOR CLOTHES,DUDS,GETUP,OUTFIT,THREADS
2023-08-24,KISS,PECK,SMACK,SMOOCH,X
2023-08-23,FACIAL HAIR,BEARD,GOATEE,MUSTACHE,STUBBLE
2023-08-23,BIKE PARTS,GEAR,HANDLEBAR,PEDAL,WHEEL
2023-08-23,PURSUE,DOG,FOLLOW,TAIL,TRACK
2023-08-23,THINGS THAT ARE CAST,DOUBT,MOVIE,SHADOW,VOTE
2023-08-22,PERFORMING ARTISTS,ACTOR,DANCER,SINGER,STAND-UP
2023-08-22,SANTA'S REINDEER,COMET,CUPID,DASHER,VIXEN
2023-08-22,SEEN ON VALENTINE'S DAY,CARD,CHOCOLATE,HEART,ROSE
2023-08-22,"""BAD ___ MOVIES""""""",BOYS,LIEUTENANT,SANTA,TASTE
2023-08-21,U.S. MOUNTAIN STATES,ARIZONA,COLORADO,NEVADA,UTAH
2023-08-21,SODA BRANDS,CRUSH,MUG,SPRITE,SQUIRT
2023-08-21,CLASSIC ROCK BANDS,GENESIS,KANSAS,RUSH,YES
2023-08-21,TONY ___,HAWK,MONTANA,SOPRANO,STARK
2023-08-20,CAMPING SUPPLIES,COOLER,LANTERN,SLEEPING BAG,TENT
2023-08-20,INSULT,BARB,DIG,DISS,JAB
2023-08-20,TINY,MINUTE,SLIGHT,SMALL,WEE
2023-08-20,HAPPY ___,CAMPER,HOUR,MEAL,MEDIUM
2023-08-19,FRIEND,BUD,CHUM,MATE,PAL
2023-08-19,COOKWEAR,CROCK,POT,SKILLET,WOK
2023-08-19,SHOES,CLOG,PUMP,SLIDE,WEDGE
2023-08-19,SLANG FOR CANNABIS,GRASS,HERB,MARY JANE,WEED
